curriculum_scenario_id,document_id,item_number,category,subcategory,scenario_text,question_prompt,source_page,extraction_method,created_at
sjt-sex-016,curriculum-f95c3e525005,16,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"Following the trial of a popular music artist accused of urinating on underage girls, a male
service member commented to a female service member, ""How about you let me pee on you?"",
and then he simulated urinating in her direction. She comes to you for advice.","Of the following, the best course of action is:",4,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-018,curriculum-f95c3e525005,18,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"During physical training, a male commanding officer made a suggestion to a female
subordinate that she should work out in something that shows off her legs. He stated, ""Pretty,
long legs like yours shouldn't be covered up"". She feels uncomfortable but doesn't know how to
handle the situation.","Of the following, the next question to the female would be:",4,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-019,curriculum-f95c3e525005,19,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A rumor is going around that a male had a domestic disturbance with his wife. The unit has
now started to refer to him as Ike Turner, a man notorious for beating his wife. He is
uncomfortable with the comments and the negative attention. He comes to you.",Your next course of action would be to:,4,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-020,curriculum-f95c3e525005,20,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A female comes to your office. She tells you a male member of her unit said she looked just
like one of the prostitutes from the television documentary on HBO called 'Pimp's up, Ho's
down'. She said she was offended that he would say she looked like a prostitute, but now he has
gone too far by referring to her as 'his little ho'.",Your next course of action would be to:,4,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-021,curriculum-f95c3e525005,21,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A male comes to your office. He tells you a male member of his unit said, ""I'm going home
to put some water in your mother's dish!"" The male explains to you that he feels the comment, in
essence, was calling his mother a dog and he will not stand for anyone disrespecting his mother.
He tells you that you need to take care of this before he takes matters into his own hands.","Of the following, the next question you ask the male would be:",5,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-022,curriculum-f95c3e525005,22,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A female E4 brought her 10 year old son's class pictures in to work. After seeing the
pictures, her male superior officer whispered, ""I had no idea you were a MILF"". She asked him,
""What is a MILF?"" He replied, ""A Mom I'd Like to Fuck!"" He then smiled and walked away.
She is shocked and angered with the comment, but is afraid to say something since he is her
superior officer.",Your next course of action would be to:,5,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-023,curriculum-f95c3e525005,23,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A male officer hung a picture in his cubicle of his teenage daughter. The males in the unit
were making sexually explicit comments about her to aggravate the male officer. He has since
taken the picture down, and has yelled at all the males who made comments about his daughter.
He tells you that he is still hearing explicit comments from the males in the unit, and that if you
do not take care of this situation immediately, he will be forced to take matters into his own
hands.","Of the following, the best course of action is to:",5,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-025,curriculum-f95c3e525005,25,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"You are deployed with your unit. A male unit member tells you the females in the unit are
constantly talking about how the local men are very well-endowed. He tells you it is aggravating
to hear about their sexual exploits all day and he is tired of hearing about male genitalia all day.
He tells you, ""I don't care what, or who, they do once they get off duty, but I'm tired of having
to hear about it"".",Your next course of action would be to:,5,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-026,curriculum-f95c3e525005,26,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A female E2 has asked for your help. She tells you that she asked a male in her unit if he was
worried about their upcoming deployment. He replied ""The only thing I'm worried about is
getting a boner when I look at you"". She is uncomfortable working with him since he made that
comment. She is also aware that since they will be deployed together it will be hard to avoid him.
She asks for your help.","Of the following, the most important course of action is:",6,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-027,curriculum-f95c3e525005,27,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A male officer complains that other males in unit are making up lies about one of their
female unit members. He tells you the males all claimed to have had sex with the female unit
member and that they are making up vulgar stories about her that are not true. He tells you, ""I
don't want to rat anyone out, but she is a good girl, and my friend, and I don't want them to talk
about her that way"".",Your next course of action would be to:,6,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-029,curriculum-f95c3e525005,29,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"You receive an email nominating members of your unit for various awards. You realize the
email is a hoax as your read the awards. Most of the awards are not offensive, and are clearly
intended to be jokes. One award, however, nominated a female member of the unit for 'Hottest
piece of tail in the office'.","Of the following, the best course of action is:",6,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-030,curriculum-f95c3e525005,30,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"At an awards ceremony, you are seated at a table with several members of your unit. One of
males at the table raises his glass and says, ""Before the main event begins, I would like to present
my friend Jen with the 'Tight Ass' award, because she is so very uptight and she also has a great
rear end'. Everyone seated around the table begins to laugh.",Your next course of action would be to:,6,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-031,curriculum-f95c3e525005,31,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"A unit member complains to you that her commanding officer is always forwarding
inappropriate emails to her and the other members of her unit. She tells you that the most recent
forwarded email included a video clip of two monkeys having sex.",Your next course of action would be to:,7,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-032,curriculum-f95c3e525005,32,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"You learn through a climate assessment focus group that women in a particular unit are never
assigned to drive in the motor pool. After speaking with the commanding officer he says, ""Off
the record, I don't have time to be politically correct. It's a fact that women are too emotional
and unfocused, and that makes them bad drivers. I have to protect the unit and the mission, not
these ladies feelings. An investigating officer is now making an inquiry into the issue.","Of the following, the assistance you would volunteer to provide the investigating officer is:",7,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-033,curriculum-f95c3e525005,33,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"Two months ago, a female officer accidently saw one of her male subordinates in the nude.
Since the incident, negative jokes are being spread around the unit regarding his endowment. He
is unhappy with the attention and approaches you about the situation seeking your help.",Your next course of action would be to:,7,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-034,curriculum-f95c3e525005,34,Sex,Inappropriate Message Content - Inappropriate Jokes or Comments,"You overhear several comments being made about a male officer's endowment. You find
out that there has been a rumor going around that he is well-endowed ever since a female unit
member saw him nude. The male unit member seems to be enjoying the attention and has added
his own jokes and comments to the mix.",Your next course of action would be to:,7,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-036,curriculum-f95c3e525005,36,Sex,"Labels Indicative of a Personal Relationship - Use of labels like ""Honey""","You receive an anonymous complaint that the female commanding officer does not refer to
the subordinate males in the unit by their rank. Instead they are referred to as 'beef cake',
'stallion', or 'honey'.",Your next course of action would be to:,8,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-037,curriculum-f95c3e525005,37,Sex,"Labels Indicative of a Personal Relationship - Use of labels like ""Honey""","You receive an anonymous complaint that the male commanding officer does not refer to the
subordinate males in the unit by their rank. Instead they are referred to as 'punk', 'loser', or
""fag"".",Your next course of action would be to:,8,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-038,curriculum-f95c3e525005,38,Sex,Anonymous Threats - Physical or Psychological Threats from Unknown Source,"There is a condom with a note attached left in a female E4's gym bag. The note says ""Get
ready, I'm going to use one of these on you--whether you like it or not"". The female E4 is shaken
up and comes to you immediately.",Your next course of action would be to:,8,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-039,curriculum-f95c3e525005,39,Sex,Anonymous Threats - Physical or Psychological Threats from Unknown Source,"A male receives a note on the windshield of his car. The note says that 'he will pay dearly for
what he has done'. He tells you he has no idea who would put this note on his car. He also tells
you he has no idea who would have a problem with him.",Your next course of action would be to:,8,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-040,curriculum-f95c3e525005,40,Sex,Anonymous Threats - Physical or Psychological Threats from Unknown Source,"A manila envelope was left on a female officer's car. The envelope contained a photograph
of a woman tied up and blind-folded, with a gun pressed to her head. The note attached said, ""I
love it when military women put up a fight-You are next!"" The female officer tells you that she
has reported the situation to the proper authorities and it is being investigated. She then tells you
she is concerned that this situation is a sign of intolerance towards women in the installation.","Of the following, the best course of action is to:",9,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-042,curriculum-f95c3e525005,42,Sex,Anonymous Threats - Physical or Psychological Threats from Unknown Source,"A female has been receiving repeated calls at her work station. She tells you the calls started
by saying ""Get out of here! We don't want you here!"" Then the calls said, ""Women don't belong
in the military!"" She tells you the latest call stated, ""You have 1 week to get out of here, and if
you don't, then I will get rid of you"". She is now very scared.",Your next course of action would be to:,9,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-043,curriculum-f95c3e525005,43,Sex,Direct Threats - Physical or Psychological Threats from Known Source,"A female comes to you to seek your advice. The men in her unit have a blow up doll in the
office. She tells you that they often simulate having sex with the doll in the office when the
commanding officer is not present. Recently, one of the males, commented to her 'this is going
to be you' while simulating having sex with the blow up doll. She doesn't want to cause any
trouble for the men and would like to handle the situation herself, but she is struggling with how
to approach the male.",Your next course of action would be to:,9,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-044,curriculum-f95c3e525005,44,Sex,Direct Threats - Physical or Psychological Threats from Known Source,"A male exposes himself to a woman on base and told her to ""suck it"", he didn't touch her but
she is worried that things could escalate. She comes to you and asks what she should do.","Of the following, the best course of action is to:",9,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-045,curriculum-f95c3e525005,45,Sex,Direct Threats - Physical or Psychological Threats from Known Source,"A female comes to you and claims that her ex-boyfriend, who is also in the military, is angry
and is constantly sending her text messages threatening to expose explicit tapes of the female in
an attempt to ruin her career.",Your next course of action would be to:,10,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-046,curriculum-f95c3e525005,46,Sex,Direct Threats - Physical or Psychological Threats from Known Source,"A female claims that her boyfriend has threatened to ruin her life if she broke off their on-
going romantic relationship. She doesn't know what he is capable of doing and is not sure how to
handle the situation. She comes to you.","Of the following, the best course of action is:",10,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-048,curriculum-f95c3e525005,48,Sex,Direct Threats - Physical or Psychological Threats from Known Source,"A male E3 comes to you and claims his ex-girlfriend is sending him harassing text messages
and calling him constantly. You speak with the ex-girlfriend and she admits to making the phone
calls and sending the text messages. She tells you she will stop calling the male E3.",Your next course of action would be to:,10,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-049,curriculum-f95c3e525005,49,Sex,Inappropriate Advances - Pursuit of an Unwanted Personal Relationship,"You are looking into an incident where a female was asked out for a date and when she
declined, the male reportedly called her a ""stuck-up bitch."" You speak with the male who admits
he may have called her an unpleasant name after she rejected him. He tells you that he responded
that way out of frustration and wishes that he could take back his poor choice of words.",Your next course of action would be to:,10,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-050,curriculum-f95c3e525005,50,Sex,Inappropriate Advances - Pursuit of an Unwanted Personal Relationship,"A Black female tells you that a male service member touched her shoulder and whispered in
her ear, ""Can I have a taste, sexy chocolate"" and began licking his lips at her. She is upset and
comes to see you.",Your next course of action would be to:,11,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-051,curriculum-f95c3e525005,51,Sex,Inappropriate Advances - Pursuit of an Unwanted Personal Relationship,"A male service member tells you that a female in his unit is aggressively pursuing a
relationship with him. He tells you that he is not attracted to this female, and that the he
repeatedly has rejected her advances. He tells you that he is becoming very uncomfortable with
the situation.","Of the following, your next question to the male would be:",11,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-052,curriculum-f95c3e525005,52,Sex,Inappropriate Advances - Pursuit of an Unwanted Personal Relationship,"A female reports that a male member of her unit has been pursuing a romantic relationship
with her for the past two months. He has been blowing kisses at her, trying to get her attention
with animal calls, and pretending to squeeze her bottom when she walks by. She tells you the
situation is annoying and childish. She asks you for your help.",Your next course of action is to:,11,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-053,curriculum-f95c3e525005,53,Sex,Inappropriate Advances - Pursuit of an Unwanted Personal Relationship,"A male reports that a female member of his unit has been pursuing a romantic relationship
with him for the past six months. She has been baking cookies for him, covering work shifts for
him, and even washing his clothes. He tells you that he knows he should not have accepted her
gifts for the past six months. He tells you that now she will not listen to him when he says he is
not interested in her romantically and she is becoming very aggressive. He asks for your advice
on how to handle the situation.",Your next course of action is to:,11,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-055,curriculum-f95c3e525005,55,Sex,Inappropriate Advances - Pursuit of an Unwanted Personal Relationship,"You are working on a special observance function with a male and female volunteer from
your unit. The male volunteer notifies you that the female volunteer has been calling him several
times a day supposedly in reference to the special observance function they are helping you plan.
He tells you that at the end of every conversation, the female volunteer asks him out on a date.
He then tells you that he is growing annoyed with her advances.","Of the following, the best course of action is to:",11,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-057,curriculum-f95c3e525005,57,Sex,Inappropriate Advances - Pursuit of an Unwanted Personal Relationship,"After a group training session, a female comes up to you and asks for your advice. She shares
with you that she is not meeting the physical training (PT) requirements and her commanding
officer has offered to help train her and get her into better shape. She tells you she feels
pressured to accept his assistance in order to get a good performance evaluation but she feels
uncomfortable spending the added personal time with him. She asks you how she should handle
the situation.",Your next course of action would be to:,12,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-058,curriculum-f95c3e525005,58,Sex,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","An investigating officer is making an inquiry into a formal complaint from a group of male
service members who claim that their superior officer treats the females in the unit better than he
treats the males in the unit. The males claim that they are always assigned undesirable work
shifts, for example nights, weekends, and holidays.","Of the following, the assistance you would volunteer to provide the investigating officer
first is:",12,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-060,curriculum-f95c3e525005,60,Sex,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","An investigating officer is making an inquiry into a formal complaint brought by a group of
male service members who claim that their performance ratings are unjustly lower than the
female members of their unit. The males claim that they are being unfairly rated because of their
gender.","Of the following, the assistance you would volunteer to provide the investigating officer
first is:",12,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-061,curriculum-f95c3e525005,61,Sex,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","During a training seminar, a group of females tell you that their commanding officer
regularly goes with the male members of the unit to a local strip club. The women tell you that
they feel they are at a disadvantage because the male service members are getting additional time
to build a bond with the commanding officer while at the strip club. They ask you for your
advice.",Your next course of action would be to:,13,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-062,curriculum-f95c3e525005,62,Sex,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","You are conducting an interview with a unit's commanding officer as part of a unit climate
assessment. During the interview the commander shares with you that he fears putting women or
minorities into leadership positions in the unit because there are members of the unit who are
unwelcoming to minorities and women.","Of the following, the most important course of action is to:",13,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-063,curriculum-f95c3e525005,63,Sex,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","A male service member tells you that he was raised to be respectful and chivalrous towards
women. He tells you that if he tries to help out the females in his unit, for example, with their
equipment, the females get angry with him, and say they can do it on their own. He then says,
""on the other hand, if I don't hold a door, they still get angry with me"". He tells you he feels as
though he is in a no-win situation.",Your next course of action would be to:,13,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-064,curriculum-f95c3e525005,64,Sex,"Work-Related Differential Treatment - Assignments, Rewards, or Punishment","You are conducting a unit inspection. After analyzing the unit's performance records, you
notice that female unit members, on average, have much lower performance ratings than the
male unit members. The commander of the unit is a female and is rumored to be much harder on
the other females in unit because they are women and she feels the females must be better and
tougher than the males if they want to last in the military.","Of the following, the most important course of action is to:",14,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-065,curriculum-f95c3e525005,65,Sex,Inappropriate Consensual Relationship - Personal Relationships that Violate Policy,"A female ES had a sexual relationship with a male E5 from another installation. She tells you
it was only for one night, and that now he is threatening to sabotage her because she doesn't
want to pursue a relationship with him. She is concerned and comes to you for advice.","Of the following, the best course of action is:",14,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-066,curriculum-f95c3e525005,66,Sex,Inappropriate Consensual Relationship - Personal Relationships that Violate Policy,"A male E3 had a sexual relationship with his female supervisor. He tells you that it was only
for one night, and that now she is threatening to sabotage him because he doesn't want to pursue
a relationship with her.","Of the following, the best course of action is:",14,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-067,curriculum-f95c3e525005,67,Sex,Inappropriate Consensual Relationship - Personal Relationships that Violate Policy,"You hear rumors that a male unit member is engaging in sexual activity with several female
unit commanders. Two unit members come to you to tell you that they are concerned this will
lead to future special treatment.",Your next course of action would be to:,14,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-068,curriculum-f95c3e525005,68,Sex,Inappropriate Consensual Relationship - Personal Relationships that Violate Policy,"Flyers were recently posted around the installation with a male service member's face
superimposed on the nude body of someone else. The male service member's name and phone
number were beneath the picture along with the phrase ""For a good time, call me"". The male is
very upset and comes to see you.",Your next course of action would be to:,14,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-069,curriculum-f95c3e525005,69,Sex,Inappropriate Consensual Relationship - Personal Relationships that Violate Policy,"Flyers were recently posted around the installation with a female service member's face
superimposed on the nude body of someone else. The female service member's name and phone
number were beneath the picture along with the phrase ""For a good time, call me"". An
individual was never found to be responsible for the incident and the female is still very upset.
She comes to see you.","Of the following, the most important course of action is to:",15,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-071,curriculum-f95c3e525005,71,Sex,Inappropriate Consensual Relationship - Personal Relationships that Violate Policy,"A female E3 tells you that a male E3 in her unit sent her nude pictures of himself via email.
She tells you she was shocked and offended and can not imagine why he would send those types
of pictures to her.",Your next course of action would be to:,15,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-071-2,curriculum-f95c3e525005,71,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A female comes to you and tells you that a former male friend has been relentlessly calling
her and coming to her home and coming to her home at all times of the night. She tells you that
she has asked him to stop contacting her but he continues. She tells you his behavior is making
her nervous.",Your next course of action would be to:,15,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-072,curriculum-f95c3e525005,72,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"You have received word that there has been a series of incidents of gender-based intimidation
incidents at your installation. You would like to coordinate a training session that will deals with
the military's sexual harassment policies.",Of the following your first course of action is:,15,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-073,curriculum-f95c3e525005,73,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A female comes to you and tells you that a former male friend has been relentlessly calling
her and coming to her home and coming to her home at all times of the night. She tells you his
behavior is making her nervous.","Of the following, the next question to ask the female is:",16,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-074,curriculum-f95c3e525005,74,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"Following the trial of a popular music artist accused of urinating on underage girls, a male
service member began singing ""J want to pee on you?"" like the ballad of one of the artist's hit
songs towards a female in his unit. He then pretended to urinate on her. She is angered and
embarrassed by the incident.",Your first course of action would be:,16,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-075,curriculum-f95c3e525005,75,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A male told a female member of his unit, ""I left something for you in your equipment. We
can use it later,"" and winked as he walked away. When she looked in her equipment she found a
condom. She feels intimidated and comes to you for help.",Your first course of action would be:,16,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-076,curriculum-f95c3e525005,76,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"During the planning of a special observance function there is an argument between a male
and female service member. The female service member comes to you after the argument and
tells you that he is her ex-boyfriend and that he has been following her around and constantly
calling her for the past two weeks. She tells you that ever since their breakup she can't seem to
get away from him. She begins to cry and tells you that she is worried he is turning into a stalker.",Your next course of action is to:,16,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-078,curriculum-f95c3e525005,78,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"Every day for the past week, a pair of women's panties has been left on top of a male service
member's desk. He comes to you and tells you that he suspects someone is trying to frame him
or embarrass him by insinuating he is having a sexual relationship with the only female in his
unit.",Your next course of action would be to:,17,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-079,curriculum-f95c3e525005,79,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A female E4comes to you because she would like to take a military sponsored training course
to further her career. Commander permission is required to take the course. She tells you her
commanding officer denied her permission to attend the course unless she was willing to go on a
date with him.",Your next course of action would be to:,17,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-080,curriculum-f95c3e525005,80,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A male E3comes to you because his supervisor denied his request for leave unless he is her
escort to an upcoming award banquet she must attend.",Your next course of action would be to:,17,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-081,curriculum-f95c3e525005,81,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A pair of women's panties has been left on top of the desk of a male service member's desk
every day for the past two weeks. He comes to you and tells you that he suspects the underwear
have been left by some of the other males in his unit. He claims the males are trying to
embarrass him and wants immediate action to be taken.",Your next course of action would be to:,17,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-082,curriculum-f95c3e525005,82,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"While in the dining facility, you see a male service throw dollar bills in a females face. You
then overhear the male ask the female for a table dance. The female leaves the dining facility.",Your next course of action would be to:,17,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-083,curriculum-f95c3e525005,83,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"A commander comes to you because he several members of his unit have applied to take a
military sponsored training course. He tells you that he must give his recommendation for
members of his unit to take the course, and he can only recommend two members of the unit. He
tells you that one his female subordinates wanted to attend the course so badly that she offered to
have sex with him for the recommendation. He tells you this situation could get ugly and he
wants to be protected.",Your next course of action would be to:,18,tesseract_ocr,2026-05-07T18:39:09.770Z
sjt-sex-084,curriculum-f95c3e525005,84,Sex,Stalking - Any Behavior Rooted in Sexual Desires Intended to Intimidate,"You are following up on an incident where a male service member threw dollar bills in a
female's face, and then told her ""I can buy and sell trash like you"". The male apologized for his
behavior and comments to the female during a mediation session.","Of the following, the most important question to ask the female is:",18,tesseract_ocr,2026-05-07T18:39:09.770Z
